task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	74/4c1bb7	14230	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00476_S63_L001)	COMPLETED	0	2020-06-23 14:50:57.292	29.4s	28.8s	164.2%	25.8 MB	331.9 MB	1.2 GB	1.2 GB
16	55/d56b25	20277	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00490_S77_L001)	COMPLETED	0	2020-06-23 14:51:07.639	21s	20.5s	159.8%	25.8 MB	331.8 MB	871.9 MB	832 MB
18	ab/bfdc62	24802	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00440_S27_L001)	COMPLETED	0	2020-06-23 14:51:14.191	14.8s	14.3s	155.2%	25.8 MB	267.8 MB	590.6 MB	561.9 MB
15	df/76c153	19024	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00473_S60_L001)	COMPLETED	0	2020-06-23 14:51:05.083	27.8s	27.4s	164.2%	25.8 MB	267.8 MB	1.2 GB	1.1 GB
17	4c/6c84cb	19536	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00492_S79_L001)	COMPLETED	0	2020-06-23 14:51:06.165	30.7s	30.2s	161.2%	25.8 MB	331.8 MB	1.3 GB	1.2 GB
20	e7/569f02	30634	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00459_S46_L001)	COMPLETED	0	2020-06-23 14:51:26.734	19.3s	18.5s	161.3%	25.8 MB	267.8 MB	805.6 MB	767 MB
19	96/475d0a	29553	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00434_S21_L001)	COMPLETED	0	2020-06-23 14:51:24.658	21.8s	21.1s	159.9%	25.8 MB	323.9 MB	887.9 MB	847.6 MB
21	31/57eb6a	31477	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00420_S7_L001)	COMPLETED	0	2020-06-23 14:51:28.694	22.4s	21.8s	166.3%	25.8 MB	331.8 MB	1 GB	976.6 MB
25	fc/f3de6f	9859	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00431_S18_L001)	COMPLETED	0	2020-06-23 14:51:46.084	13.7s	13.1s	156.0%	25.8 MB	267.8 MB	538.4 MB	511.4 MB
22	29/941d10	31723	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00447_S34_L001)	COMPLETED	0	2020-06-23 14:51:29.048	31.6s	31.1s	161.0%	25.8 MB	331.8 MB	1.3 GB	1.3 GB
24	48/bc4bbe	4687	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00448_S35_L001)	COMPLETED	0	2020-06-23 14:51:36.914	25.5s	24.8s	162.9%	25.8 MB	307.4 MB	1.1 GB	1 GB
23	6a/b2b379	1751	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00444_S31_L001)	COMPLETED	0	2020-06-23 14:51:32.937	31.5s	30.9s	162.2%	25.8 MB	331.8 MB	1.3 GB	1.3 GB
31	ca/caef9b	19440	ncovIllumina:sequenceAnalysis:readTrimming (Neg2-20200604-run-12_S88_L001)	COMPLETED	0	2020-06-23 14:52:04.508	1.5s	848ms	86.2%	7.7 MB	18.9 MB	7.2 MB	1 MB
27	18/0fc670	12422	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00479_S66_L001)	COMPLETED	0	2020-06-23 14:51:51.163	14.9s	14.4s	153.8%	25.8 MB	267.8 MB	595.9 MB	566.5 MB
30	45/02d238	18327	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00496_S83_L001)	COMPLETED	0	2020-06-23 14:52:02.398	9.1s	8.5s	157.4%	25.8 MB	267.8 MB	349.7 MB	330.4 MB
26	53/1347dc	10076	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00483_S70_L001)	COMPLETED	0	2020-06-23 14:51:46.476	28s	27.5s	160.6%	25.8 MB	331.9 MB	1.2 GB	1.1 GB
33	1b/b282a1	20712	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00494_S81_L001)	COMPLETED	0	2020-06-23 14:52:06.047	11.4s	10.9s	157.1%	25.8 MB	267.8 MB	460.7 MB	436.9 MB
28	f3/5428c3	16831	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00421_S8_L001)	COMPLETED	0	2020-06-23 14:51:59.792	23.4s	22.9s	163.5%	25.8 MB	317.5 MB	1 GB	991.8 MB
32	7d/905841	20658	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00489_S76_L001)	COMPLETED	0	2020-06-23 14:52:06.002	22.2s	21.8s	162.9%	25.8 MB	267.8 MB	951.4 MB	908.2 MB
34	e4/242ef0	24802	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00452_S39_L001)	COMPLETED	0	2020-06-23 14:52:11.493	17.8s	17.4s	159.2%	25.8 MB	287.4 MB	744.3 MB	709.3 MB
29	13/0423fb	17362	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00485_S72_L001)	COMPLETED	0	2020-06-23 14:52:00.654	33.4s	32.8s	164.9%	25.8 MB	331.8 MB	1.5 GB	1.4 GB
35	19/ca4384	26440	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00469_S56_L001)	COMPLETED	0	2020-06-23 14:52:14.528	24s	23.5s	162.3%	25.8 MB	331.8 MB	1 GB	993.2 MB
39	9e/336801	2371	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00415_S2_L001)	COMPLETED	0	2020-06-23 14:52:29.346	15.3s	14.7s	161.1%	25.8 MB	267.9 MB	633 MB	602.3 MB
36	f2/691754	28213	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00477_S64_L001)	COMPLETED	0	2020-06-23 14:52:17.478	28.1s	27.6s	161.2%	25.8 MB	331.8 MB	1.2 GB	1.1 GB
37	75/97790c	31226	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00466_S53_L001)	COMPLETED	0	2020-06-23 14:52:23.233	25s	24.5s	159.8%	25.8 MB	267.9 MB	1 GB	1006.9 MB
38	58/b302d3	1733	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00472_S59_L001)	COMPLETED	0	2020-06-23 14:52:28.273	20.8s	20.2s	162.4%	25.8 MB	267.8 MB	875.4 MB	835.9 MB
42	b0/f6a0ab	10486	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00470_S57_L001)	COMPLETED	0	2020-06-23 14:52:44.654	9.1s	8.5s	152.4%	25.8 MB	312.2 MB	330.4 MB	311.8 MB
45	63/3cc6d8	12566	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00486_S73_L001)	COMPLETED	0	2020-06-23 14:52:48.301	8.6s	7.8s	148.7%	25.8 MB	331.8 MB	300.9 MB	283.2 MB
40	dd/04f3ea	4838	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00462_S49_L001)	COMPLETED	0	2020-06-23 14:52:34.059	22.9s	22.4s	157.9%	25.8 MB	281.7 MB	948.3 MB	905.9 MB
41	bc/59e115	7278	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00491_S78_L001)	COMPLETED	0	2020-06-23 14:52:38.560	18.9s	17.9s	156.6%	25.8 MB	267.8 MB	748.7 MB	713.1 MB
43	62/698975	10706	ncovIllumina:sequenceAnalysis:readTrimming (NTC-20200604-run-12_S86_L001)	COMPLETED	0	2020-06-23 14:52:45.580	14.5s	13.9s	172.2%	25.8 MB	282.6 MB	942.8 MB	894.7 MB
44	3c/d11df6	13164	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00445_S32_L001)	COMPLETED	0	2020-06-23 14:52:49.112	19s	18.6s	159.1%	25.8 MB	331.8 MB	773.9 MB	737.1 MB
59	98/ccc552	20590	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00480_S67_L001)	COMPLETED	0	2020-06-23 14:53:00.111	17.8s	17.3s	164.4%	25.8 MB	267.8 MB	756.6 MB	721.3 MB
47	05/4b3839	18184	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00493_S80_L001)	COMPLETED	0	2020-06-23 14:52:56.897	22.6s	21.8s	162.0%	25.8 MB	267.8 MB	947.8 MB	905 MB
49	4a/8915b6	18689	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00474_S61_L001)	COMPLETED	0	2020-06-23 14:52:57.485	27.6s	27s	165.8%	25.8 MB	287 MB	1.2 GB	1.1 GB
48	e1/d2c7c7	18216	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00450_S37_L001)	COMPLETED	0	2020-06-23 14:52:56.989	29.6s	28.7s	160.6%	25.8 MB	331.8 MB	1.2 GB	1.2 GB
46	1b/c03744	16463	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00475_S62_L001)	COMPLETED	0	2020-06-23 14:52:53.723	35s	34.6s	163.5%	25.8 MB	331.8 MB	1.5 GB	1.4 GB
61	6a/d77320	30559	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00471_S58_L001)	COMPLETED	0	2020-06-23 14:53:17.923	13.2s	12.6s	156.6%	25.8 MB	267.8 MB	529.4 MB	502.5 MB
62	cd/107207	30978	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00495_S82_L001)	COMPLETED	0	2020-06-23 14:53:19.531	17.7s	17.1s	156.9%	25.8 MB	331.9 MB	736.1 MB	700.9 MB
50	13/1f2bc2	26547	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00417_S4_L001)	COMPLETED	0	2020-06-23 14:53:08.170	30.2s	29.8s	160.0%	25.8 MB	315.9 MB	1.3 GB	1.2 GB
51	aa/56d1ce	866	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00497_S84_L001)	COMPLETED	0	2020-06-23 14:53:25.121	13.8s	13.3s	156.3%	25.8 MB	267.8 MB	540.7 MB	512.3 MB
54	ce/a15afd	5417	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00454_S41_L001)	COMPLETED	0	2020-06-23 14:53:31.154	11.6s	11.1s	158.2%	25.8 MB	267.9 MB	461.3 MB	437.5 MB
52	d5/13aec8	3631	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00460_S47_L001)	COMPLETED	0	2020-06-23 14:53:28.734	24.3s	23.6s	159.8%	25.8 MB	331.9 MB	1003.1 MB	958.2 MB
57	89/294ce7	10114	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00488_S75_L001)	COMPLETED	0	2020-06-23 14:53:38.442	16.3s	15.6s	162.5%	25.8 MB	331.8 MB	672.3 MB	640.4 MB
56	5d/303367	10776	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00464_S51_L001)	COMPLETED	0	2020-06-23 14:53:38.976	20s	19.5s	163.2%	25.8 MB	267.8 MB	846 MB	807.4 MB
58	ca/73750c	13642	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00437_S24_L001)	COMPLETED	0	2020-06-23 14:53:42.795	23.5s	22.9s	161.6%	25.8 MB	331.7 MB	981 MB	936.8 MB
53	d1/1f485b	2411	ncovIllumina:sequenceAnalysis:readTrimming (Undetermined_S0_L001)	COMPLETED	0	2020-06-23 14:53:26.614	41.1s	40.5s	163.9%	25.8 MB	267.8 MB	1.8 GB	1.7 GB
63	d0/64054c	20161	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00423_S10_L001)	COMPLETED	0	2020-06-23 14:53:54.765	13.9s	13.5s	152.9%	25.8 MB	325.2 MB	560.7 MB	532 MB
55	1d/c793a5	9523	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00425_S12_L001)	COMPLETED	0	2020-06-23 14:53:37.285	33.5s	33s	164.4%	25.9 MB	267.8 MB	1.4 GB	1.4 GB
64	87/d53f66	22059	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00298_S90_L001)	COMPLETED	0	2020-06-23 14:53:58.998	12.9s	12.4s	153.0%	25.8 MB	331.8 MB	508.9 MB	482.9 MB
65	bc/e20103	26105	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00430_S17_L001)	COMPLETED	0	2020-06-23 14:54:06.343	12.8s	12.1s	160.6%	25.8 MB	331.8 MB	544.1 MB	515.7 MB
60	36/52ddf0	19573	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00481_S68_L001)	COMPLETED	0	2020-06-23 14:53:53.014	29.4s	28.7s	160.6%	25.8 MB	331.6 MB	1.2 GB	1.2 GB
77	12/cf0fa3	28951	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00455_S42_L001)	COMPLETED	0	2020-06-23 14:54:10.852	13.6s	13s	162.4%	25.8 MB	327.4 MB	568.8 MB	540.3 MB
74	b0/b58091	27784	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00498_S85_L001)	COMPLETED	0	2020-06-23 14:54:08.714	27.3s	26.8s	163.7%	25.8 MB	267.8 MB	1.2 GB	1.1 GB
66	0e/e79af5	27098	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00426_S13_L001)	COMPLETED	0	2020-06-23 14:54:07.758	28.5s	27.6s	163.8%	25.8 MB	292.2 MB	1.2 GB	1.2 GB
79	8f/2a3892	29954	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00443_S30_L001)	COMPLETED	0	2020-06-23 14:54:11.951	24.9s	24.4s	159.7%	25.8 MB	331.8 MB	1 GB	989.8 MB
81	d5/0c2665	5117	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00427_S14_L001)	COMPLETED	0	2020-06-23 14:54:22.400	20.3s	19.6s	160.2%	25.8 MB	331.8 MB	867.1 MB	825.8 MB
69	3d/768041	11760	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00438_S25_L001)	COMPLETED	0	2020-06-23 14:54:36.044	9s	8.2s	154.7%	25.8 MB	331.8 MB	332.5 MB	313.6 MB
71	00/2686af	3192	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00418_S5_L001)	COMPLETED	0	2020-06-23 14:54:19.157	27.3s	26.8s	161.0%	25.8 MB	267.8 MB	1.1 GB	1.1 GB
67	b4/9abbdb	6330	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00424_S11_L001)	COMPLETED	0	2020-06-23 14:54:24.478	27.4s	26.9s	164.6%	25.8 MB	331.8 MB	1.2 GB	1.2 GB
70	54/bcff3a	12320	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00442_S29_L001)	COMPLETED	0	2020-06-23 14:54:36.874	15.9s	15.4s	161.3%	25.8 MB	299.5 MB	685.4 MB	651.8 MB
72	e8/e35fae	15544	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00478_S65_L001)	COMPLETED	0	2020-06-23 14:54:42.726	12.2s	11.7s	156.8%	25.8 MB	288.2 MB	486.6 MB	461.8 MB
73	c4/d1b72b	17005	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00487_S74_L001)	COMPLETED	0	2020-06-23 14:54:45.061	10s	9.4s	150.3%	25.8 MB	267.8 MB	375.2 MB	354.4 MB
68	11/a4a65a	11909	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00433_S20_L001)	COMPLETED	0	2020-06-23 14:54:36.272	20.1s	19.5s	157.7%	25.8 MB	321.4 MB	826.8 MB	787.2 MB
76	8e/8eac32	21346	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00439_S26_L001)	COMPLETED	0	2020-06-23 14:54:51.879	13.7s	13s	156.5%	25.8 MB	331.8 MB	545.8 MB	518.1 MB
75	f1/0f08a0	17789	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00463_S50_L001)	COMPLETED	0	2020-06-23 14:54:46.468	19.9s	19.3s	164.8%	25.8 MB	331.8 MB	876 MB	835.1 MB
87	aa/c1fdbe	21885	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00436_S23_L001)	COMPLETED	0	2020-06-23 14:54:52.792	18.7s	17.8s	163.6%	25.8 MB	331.8 MB	792.4 MB	753.7 MB
78	c5/dd8707	23442	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00457_S44_L001)	COMPLETED	0	2020-06-23 14:54:54.987	20.5s	20.1s	161.3%	25.8 MB	267.8 MB	861.4 MB	821.4 MB
80	72/c6d426	23631	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00467_S54_L001)	COMPLETED	0	2020-06-23 14:54:55.125	20.5s	20s	162.0%	25.8 MB	267.8 MB	870.3 MB	829.6 MB
82	07/df0a67	24396	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00428_S15_L001)	COMPLETED	0	2020-06-23 14:54:56.346	21.5s	21.1s	159.9%	25.8 MB	267.8 MB	895.5 MB	852.9 MB
85	7f/47e205	2725	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00429_S16_L001)	COMPLETED	0	2020-06-23 14:55:11.492	16.1s	15.5s	153.9%	25.8 MB	267.8 MB	613.9 MB	582.9 MB
83	cc/58a8f2	31759	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00461_S48_L001)	COMPLETED	0	2020-06-23 14:55:05.646	23.4s	22.9s	160.3%	25.8 MB	267.9 MB	980.6 MB	936.9 MB
88	30/bc1e30	6399	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00414_S1_L001)	COMPLETED	0	2020-06-23 14:55:17.860	15.8s	15.3s	159.6%	25.8 MB	267.9 MB	653.7 MB	622.5 MB
84	80/a482b5	32146	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00484_S71_L001)	COMPLETED	0	2020-06-23 14:55:06.341	27.9s	27.3s	162.8%	25.8 MB	315.1 MB	1.2 GB	1.1 GB
93	91/be72d4	15714	ncovIllumina:prepareReferenceFiles:indexReference (nCoV-2019.reference.fasta)	COMPLETED	0	2020-06-23 14:55:34.237	667ms	146ms	33.6%	2.6 MB	10.1 MB	197.1 KB	81.1 KB
86	72/db3211	4950	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00449_S36_L001)	COMPLETED	0	2020-06-23 14:55:15.550	30.1s	29.5s	157.1%	25.8 MB	331.9 MB	1.2 GB	1.2 GB
89	12/bc7dca	4971	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00446_S33_L001)	COMPLETED	0	2020-06-23 14:55:15.605	35.2s	34.6s	156.5%	25.8 MB	325.9 MB	1.4 GB	1.4 GB
91	1c/7b3023	13333	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00458_S45_L001)	COMPLETED	0	2020-06-23 14:55:29.080	22.8s	22s	148.3%	25.8 MB	267.8 MB	877.9 MB	837.3 MB
95	c5/67d1ba	16170	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00451_S38_L001)	COMPLETED	0	2020-06-23 14:55:34.983	17.2s	16.4s	122.0%	270.4 MB	1 GB	254.1 MB	247.6 MB
90	b7/aef16d	12256	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00416_S3_L001)	COMPLETED	0	2020-06-23 14:55:27.584	26.7s	26s	149.7%	25.8 MB	267.8 MB	1.1 GB	1 GB
101	1a/e133de	24580	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00422_S9_L001)	COMPLETED	0	2020-06-23 14:55:50.778	12.6s	11.6s	96.4%	187.4 MB	1 GB	140.4 MB	138.2 MB
92	65/11223c	15177	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00432_S19_L001)	COMPLETED	0	2020-06-23 14:55:33.716	29.8s	28.9s	128.9%	25.8 MB	267.8 MB	1.1 GB	1 GB
104	c7/4a666d	25326	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00297_S89_L001)	COMPLETED	0	2020-06-23 14:55:52.273	13.7s	12.5s	95.1%	194.1 MB	1 GB	153.2 MB	150.2 MB
105	74/66496b	16179	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00468_S55_L001)	COMPLETED	0	2020-06-23 14:55:35.034	31.3s	30.3s	113.8%	332.8 MB	1 GB	438.8 MB	428.1 MB
94	ed/dd1357	24586	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00482_S69_L001)	COMPLETED	0	2020-06-23 14:55:50.806	19s	17.8s	100.2%	249.2 MB	1 GB	222.3 MB	219.6 MB
100	6e/7395bb	25247	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00441_S28_L001)	COMPLETED	0	2020-06-23 14:55:51.943	19.7s	18.5s	99.2%	279.8 MB	1.2 GB	237.8 MB	233.5 MB
98	0f/cae7bc	22096	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00419_S6_L001)	COMPLETED	0	2020-06-23 14:55:45.687	27.5s	26.5s	106.2%	284.2 MB	1 GB	359.7 MB	351.9 MB
99	a0/51f2af	25227	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00465_S52_L001)	COMPLETED	0	2020-06-23 14:55:51.911	24.5s	23.1s	99.2%	309.8 MB	1.1 GB	285.1 MB	280.3 MB
102	0b/dc04f0	26779	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00435_S22_L001)	COMPLETED	0	2020-06-23 14:55:54.297	23.8s	21.8s	96.4%	262.7 MB	1 GB	269.5 MB	264.7 MB
97	46/84c88e	22105	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00453_S40_L001)	COMPLETED	0	2020-06-23 14:55:45.735	32.5s	31.5s	102.7%	325.5 MB	1 GB	411.1 MB	400.8 MB
118	87/44f477	9086	ncovIllumina:sequenceAnalysis:readMapping (Neg2-20200604-run-12_S88_L001)	COMPLETED	0	2020-06-23 14:56:18.335	2.7s	335ms	18.7%	1.5 MB	5.4 MB	437.5 KB	308.1 KB
107	28/cfde84	1739	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00440_S27_L001)	COMPLETED	0	2020-06-23 14:56:06.010	15.6s	14.6s	91.6%	219.1 MB	1.1 GB	171.4 MB	168.2 MB
113	c2/806588	8044	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00431_S18_L001)	COMPLETED	0	2020-06-23 14:56:16.485	15.4s	13.4s	93.1%	197.3 MB	1 GB	154.4 MB	151.7 MB
108	40/6bbddf	4319	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00490_S77_L001)	COMPLETED	0	2020-06-23 14:56:10.107	22.2s	20.6s	95.1%	281.4 MB	1.1 GB	253.3 MB	247.9 MB
103	06/ed9d5b	26790	ncovIllumina:sequenceAnalysis:readMapping (Neg1-20200604-run-12_S87_L001)	COMPLETED	0	2020-06-23 14:55:54.326	38.2s	36.6s	94.3%	326.7 MB	1 GB	321.8 MB	331.3 MB
96	8c/e04114	32036	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00456_S43_L001)	COMPLETED	0	2020-06-23 14:56:03.542	29.3s	27.5s	96.7%	291.2 MB	1 GB	313 MB	310.6 MB
111	49/9ae752	5197	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00459_S46_L001)	COMPLETED	0	2020-06-23 14:56:11.693	21.2s	19.2s	96.3%	261.7 MB	1 GB	235.1 MB	231.8 MB
109	b9/fc3e04	32044	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00473_S60_L001)	COMPLETED	0	2020-06-23 14:56:03.589	30.1s	29s	96.5%	284.1 MB	1 GB	349.3 MB	343.9 MB
106	b3/e3ae21	32017	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00476_S63_L001)	COMPLETED	0	2020-06-23 14:56:03.430	31.1s	29.8s	97.7%	336.4 MB	1 GB	371.2 MB	364.4 MB
110	59/7388a5	1922	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00492_S79_L001)	COMPLETED	0	2020-06-23 14:56:06.352	31.2s	29.9s	98.3%	290.2 MB	1 GB	378.5 MB	368.7 MB
112	f4/6f535c	8987	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00434_S21_L001)	COMPLETED	0	2020-06-23 14:56:18.127	23.1s	21.3s	97.9%	267.7 MB	1 GB	259.4 MB	255.5 MB
